Item Name,Description,Staff Pick,Categories
Ahoy,"You are swashbucklers and soldiers on the high seas. Each round, you’ll roll and place dice to take the unique actions of your faction. As you control regions and deliver cargo, you’ll gain Fame. Simpler than Root, Ahoy presents asymmetric madness that will encourage alliances while keeping an eye on the finish line. Super tactile, beautiful, and plenty of talk of booty.","Alex, Shop Owner",Board Game
Apiary,"In a twist we probably deserve, humans are gone and the fate of the galaxy is in the hands (apendages?) of super smart space bees advancing their civilizations through dancing. Are you not entertained? Apiary is a competitive, worker-placement, hive-building game that will make you wanna run it back immediately after your first game.","Alex, Shop Owner",Board Game
Brink,"In Brink, you'll command a fleet of starships, explore new regions, collect and trade resources, and secretly vote on what hexes score points. Brink delivers dynamic, high interaction experience where every choice ripples across the galaxy and no expedition plays the same way twice. AND it packs like a Marie Kondo IKEA masterclass. A regular pick at Woodbine Wednesdays.","Alex, Shop Owner",Board Game
Fractured Sky Deluxe,"Fractured Sky places you at the helm of an airship expedition to recover fragments of a magical falling star. Its gameplay is a unique combination of area control, resource management, blind bidding, and a hint of deduction. Five expansions in total keep this game constantly fresh. OH YEAH and magnets. Lots and lots of magnets.","Alex, Shop Owner",Board Game
Graft (Limited Edition),"Farm, fish, and forage to gather the perfect harvest in this game for 3-5 players. Draft cards, collect sets, and fill your cargo with valuable goods to send back to Zenith, but don't wait too long to ship it or risk busting! I made my family play over Thanksgiving, and get this, they asked ME to play it over Christmas. My go-to small box game for 4 players.","Alex, Shop Owner",Board Game
Keyforge: Age of Ascension 2-Player Starter Set,"Keyforge was made by Richard Garfield, the creator of Magic The Gathering, as a response to a fundamental issue with Magic: You can kinda pay to win. In Keyforge, a 2 player line battler and resource collection duel, every single deck in the universe is unique and stays together. Pick your unique deck, find a pal, and build your Æmber farming engine for forge keys. This game pretty much got us through COVID.","Alex, Shop Owner",Small Box Game
Keyforge: Age of Ascension Deck,,,Small Box Game
Moonrakers (Platinum Edition),"Moonrakers is a deck-building game that mixes temporary alliances, negotiation, and ship-building with traditional deck management for a unique and competitive gameplay experience. Moonrakers is the greatest board game in the world. You can disagree. Lots of people are wrong every day. Don't ask me about this game unless you have 4 hours to talk about it.","Alex, Shop Owner",Board Game
Moonrakers: Dark Matter,"Expand your Moonrakers universe with new contracts, crew, ship parts, and a new card type: Dark Matter.
Includes 35 cards and sleeves. This expansion is compatible with all versions and player counts of Moonrakers.",,Microexpansion
Moonrakers: Endless,A pack of 10 demigods... they may look familiar to owners of Veiled Fate. Includes 10 Crew cards and sleeves. This expansion is compatible with all versions & player counts of Moonrakers.,,Microexpansion
Moonrakers: Marauders,"Introducing a brand new Moonrakers micro-expansion: the Marauders.
Includes 5 new crew, 5 contracts, and 5 ship parts, along with card sleeves.",,Microexpansion
Moonrakers: Shard,"Expand your Moonrakers universe with new contracts, crew, and ship parts.
Includes 15 cards and sleeves. This expansion is compatible with all versions and player counts of Moonrakers.",,Microexpansion
Moonrakers: Starfall,"A Moonrakers 25 card micro-expansion themed to include Fractured Sky characters and artifacts.
Includes enough Moonrakers' sleeves to cover the expansion.",,Microexpansion
Moonrollers,"A standalone push-your-luck dice game for 2-5 players featuring familiar faces and themes from the Moonrakers universe. Attempt contracts, hire crew, and push-your-luck in an addictive game of strategy and chance. Nothing beats the feeling of rolling a handful of dice. It's also a great way to trick your friends who were scared of Moonrakers to want to play Moonrakers, which was always the goal.","Alex, Shop Owner",Small Box Game
Mythic Mischief Vol I,"Mythic Mischief is a game of high-stakes hijinks in which 1 to 4 players vie for control of the S’ghoul Library. Groups of Mythics with contrasting powers work to manipulate the board and outmaneuver their opponents. Cunning capers and tactical traps will outwit your enemy, catching them right in the path of the bone-chilling Tomekeeper. The time is short and the stakes are high for proving yourself the best in class.","Alex, Shop Owner",Board Game
Mythic Mischief Vol II,"Mythic Mischief is a game of high-stakes hijinks in which 1 to 4 players vie for control of the Hedgemaze. Groups of Mythics with contrasting powers work to manipulate the board and outmaneuver their opponents. Cunning capers and tactical traps will outwit your enemy, catching them right in the path of the bone-chilling Hedgekeeper. The time is short and the stakes are high for proving yourself the best in class.
Volume II is a standalone game, and includes four factions: the Werewolves, Gnomes, Gargoyles, and Fairies.","Alex, Shop Owner",Board Game
Pillars of Fate (Limited Edition),Deduction meets lane battler in this 2 player showdown of the world's shiniest cards. A game with hidden information and asymmetric powers that will leave you wanting to win AND lose your battles. Choose when and where to play your heroes wisely. We'll bring this one to other coffee shops when Primitive is closed. A fantastic introduction to the  wonderful world of lane-battlers!,"Alex, Shop Owner",Small Box Game
Qless,"Crossword solitaire! Qless will take over your coffee time in the morning. Roll 12 dice and force them into a crossword. Sometimes it takes 30 seconds, and other times you roll an X or a J and you're stuck in purgatory for hours (or just roll again). Locally designed by Tom Sturdevant.","Anna, Shop Owner",Small Box Game
Fractured Sky: Rift,"Rift introduces a vibrant new twist to Fractured Sky: Starfalls now come in four colors, drawn randomly each round and assigned to both public and hidden regions. This simple shift dramatically changes the strategic puzzle, turning each round into a race to collect matching colors and build powerful sets for the numen. Yet another IV Studio expansion you won't want to play without. Great.","Alex, Shop Owner",Microexpansion
Root,"Just one of the best games out there. Root is a game of woodland might and right. Stalk the woods as one of the Vagabonds, seize the initiative with the Eyrie birds of prey, rule over your subjects as the Marquise de Cat, or command the Woodland Alliance to create a new order. With creatures and cunning, you'll rule a fantastic forest kingdom in the ultimate asymmetric board game of adventure and war. I never don't want to play Root.","Alex, Shop Owner",Board Game
Root: Landmarks Pack,"The Landmarks Pack brings the Woodland to life! Each landmark offers players new strategic challenges and tactical possibilities. They work with each of Root's four maps! Includes the Black Market, the Lost City, the Legendary Forge, and the Elder Treetop.",,Microexpansion
Root: Riverfolk Expansion,"The Riverfolk Expansion adds two new factions (The Riverfolk and The Lizard Cultists), new vagabonds, and exciting new game modes.",,Expansion
Root: The Marauder Expansion,The Marauder Expansion adds two new factions (Lord of the Hundreds and Keepers in Iron) and adds hirelings.,,Expansion
Root: The Underworld Expansion,The Underworld Expansion adds two new factions (The Underground Duchy and The Corvid Conspiracy) and two new maps.,,Expansion
Root: The Vagabond Pack,"The Vagabonds Pack upgrades your Root board game with seven custom Vagabond meeples. Includes three new Vagabond character cards: Dash and slash with the Ronin, Quest more with the Adventurer, and Fly free with the Harrier.",,Microexpansion
